Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Tyre_Radius,Speed_mps,Wheel_Omega,R_eff,Slip_Ratio,Traction_Health,Speed_Change,Throttle_Change,Hard_Braking,High_RPM,Full_Throttle,RPM_Danger,Inconsistent_Combo,Gear_Ratio,Expected_RPM,RPM_Deviation,RPM_Deviation_Ratio,Gear_Speed_Mismatch,RPM_per_Gear,Speed_per_Gear,RPM_Speed_Ratio,Throttle_RPM_Product,Throttle_Brake_Conflict,RPM_Hours,Brake_Usage,High_Speed_Miles,Stress_Score,Needs_Maintenance
2023-05-28 13:45:17.392,10999.0,265.0,7,100.0,0,0,car,0 days 00:00:00.185000,0 days 01:44:16.415000,13.618055555555555,720,73.61111111111111,1151.8125865611378,0.06390893093725966,-8.68196938009881e-10,0.95,0.0,0.0,0,0,1,0,0,0.95,25175.0,14176.0,0.5630983117949117,0,1571.2854898163587,37.85713744898036,41.50566022073336,1.0999,0,0.18331666666666666,0,0.0,0.5270063801208865,0
2023-05-28 13:45:17.752,11207.0,269.0,7,100.0,0,0,car,0 days 00:00:00.545000,0 days 01:44:16.775000,40.51805555555555,720,74.72222222222223,1173.5942956260271,0.06366955125552463,-8.520833233419634e-10,0.95,4.0,0.0,0,0,1,0,0,0.95,25555.0,14348.0,0.561455683797243,0,1600.9997712857469,38.428565938776295,41.661709882298474,1.1207,0,0.3701,0,26.89999999999999,0.5322447951645399,0
2023-05-28 13:45:18.032,11190.0,269.0,7,100.0,0,0,car,0 days 00:00:00.825000,0 days 01:44:17.055000,61.440277777777766,720,74.72222222222223,1171.8140597889928,0.06376627890256846,-8.533777050268342e-10,0.95,0.0,0.0,0,0,1,0,0,0.95,25555.0,14365.0,0.5621209156500833,0,1598.5712002041141,38.428565938776295,41.59851285651111,1.119,0,0.5566,0,47.82222222222221,0.5318166554734721,0
2023-05-28 13:45:18.272,11253.0,272.0,7,93.0,0,0,car,0 days 00:00:01.065000,0 days 01:44:17.295000,79.57361111111109,720,75.55555555555556,1178.4114043615314,0.06411644966417772,-8.486000495777655e-10,0.95,3.0,-7.0,0,0,0,0,0,0.95,25839.999999999996,14586.999999999996,0.5645123838790823,0,1607.5711989184001,38.85713730612324,41.37132337731131,1.046529,0,0.74415,0,65.95555555555553,0.5159032907991941,0
2023-05-28 13:45:18.552,10811.0,261.0,7,9.0,1,0,car,0 days 00:00:01.345000,0 days 01:44:17.575000,99.87361111111107,720,72.5,1132.125272598642,0.06403884949016915,-8.832943817658761e-10,0.95,-11.0,-84.0,0,0,0,0,1,0.95,24795.0,13984.0,0.563984674306756,0,1544.4283507959499,37.28570895918443,41.421455779994425,0.097299,0,0.9243333333333333,1,86.25555555555552,0.7951213091810808,1
2023-05-28 13:45:18.992,9030.0,209.0,7,0.0,1,0,car,0 days 00:00:01.785000,0 days 01:44:18.015000,125.41805555555553,720,58.05555555555556,945.6193887305277,0.06139421017170513,-1.0575079156376395e-09,0.95,-52.0,-9.0,1,0,0,0,0,0.95,19855.0,10825.0,0.5452027196904959,0,1289.999815714312,29.857138591837344,43.20574142006822,0.0,0,1.0748333333333333,2,111.79999999999997,0.47811703071944844,0
2023-05-28 13:45:19.232,8430.0,184.0,7,0.0,1,0,car,0 days 00:00:02.025000,0 days 01:44:18.255000,137.6847222222222,720,51.111111111111114,882.7875356587318,0.05789740904653218,-1.132775381749886e-09,0.95,-25.0,0.0,1,0,0,0,0,0.95,17480.0,9050.0,0.517734553746125,0,1204.2855422449225,26.285710530612782,45.815217142308605,0.0,0,1.2153333333333334,3,111.79999999999997,0.4633558684431754,0
2023-05-28 13:45:19.552,8606.0,147.0,6,0.0,1,0,car,0 days 00:00:02.345000,0 days 01:44:18.575000,150.7513888888889,720,40.833333333333336,901.218212559792,0.0453090413830437,-1.109609204534334e-09,0.95,-37.0,0.0,1,0,0,0,0,1.1,16170.000000000002,7564.000000000002,0.4677798391794818,0,1434.3330942778175,24.499995916667345,58.54421728881485,0.0,0,1.3587666666666667,4,111.79999999999997,0.4681380238297632,0
2023-05-28 13:45:19.952,8719.0,119.0,5,0.0,1,0,car,0 days 00:00:02.745000,0 days 01:44:18.975000,163.97361111111113,720,33.05555555555556,913.0515448883135,0.03620338381158492,-1.0952283185752433e-09,0.95,-28.0,0.0,1,0,0,0,0,1.3,15470.000000000002,6751.000000000002,0.436393018717751,0,1743.7996512400698,23.79999524000095,73.2689069473201,0.0,0,1.5040833333333334,5,111.79999999999997,0.4713335438906292,0
2023-05-28 13:45:20.312,7805.0,112.0,3,2.0,0,0,car,0 days 00:00:03.105000,0 days 01:44:19.335000,175.17361111111111,720,31.111111111111114,817.3376887089446,0.03806396242682732,-1.2234843601809267e-09,0.95,-7.0,2.0,0,0,0,0,0,2.0,22400.0,14595.0,0.6515624999709124,0,2601.6657994447332,37.333320888893034,69.68749937779019,0.01561,0,1.6341666666666668,5,111.79999999999997,0.2033147393238058,0
